2446.92	3919.89	6539.66	11056.9	18756.7	
81.8917	133.504	225.473	385.204	659.444	
4707.77	7791.16	13182.5	22482.3	38406.9	
798.745	1336.41	2327.46	4104.51	7243.13	
19.0583	30.6489	51.1841	86.5712	146.889	
20.2818	33.4479	56.8484	97.5086	167.395	
68.5246	113.454	191.947	327.359	559.271	
6.37265	10.7642	18.8137	33.2192	58.6423	
110.984	177.793	296.63	501.555	850.896	
142.743	234.573	398.159	682.586	1171.55	
426.079	705.093	1192.94	2034.45	3475.35	
52.3345	87.6055	152.594	269.105	474.876	
257.261	409.91	682.621	1154.01	1959.44	
1004.8	1634.37	2755.28	4697.99	8026.64	
345.791	571.556	966.074	1646.35	2810.14	
103.568	174.262	303.832	535.447	943.527	
4.66311e-10	4.44089e-15	0	0	0	
4.96794e-10	4.89886e-15	0	0	0	
7.19755e-10	6.63358e-15	0	0	0	
1.97662e-10	2.00534e-15	0	0	0	
6.74367e-09	6.01741e-14	0	0	0	
7.19454e-09	6.90559e-14	0	0	0	
1.0422e-08	9.448e-14	0	0	0	
2.86006e-09	2.91989e-14	0	0	0	
4093.68	6997.44	12065.7	20800.4	35749.3	
3780.91	6489.26	11171.4	19213.5	32970.5	
14428.6	25666.2	45342.1	79716.1	139452	
838.386	1511.14	2745.17	4984.17	9019.6	
45.1518	77.2196	133.141	229.522	394.505	
42.1789	72.3448	124.531	214.185	367.584	
140.907	250.405	442.27	777.713	1361.26	
8.09647	14.6287	26.5912	48.2921	87.4118	
311.905	533.072	919.069	1584.22	2722.39	
284.79	488.649	841.175	1446.69	2482.48	
1124.01	1999.31	3531.98	6209.76	10863.8	
65.2879	117.689	213.803	388.19	702.504	
1068.74	1828.22	3161.17	5468.56	9434.57	
1096.49	1880.59	3244.68	5598.76	9646.41	
1262.34	2234.85	3931.66	6885.22	11998.4	
87.565	156.953	283.129	510.283	916.524	
7.82524e-10	7.21645e-15	0	0	0	
7.05435e-10	6.63358e-15	0	0	0	
8.61734e-10	8.60423e-15	0	0	0	
1.69785e-10	1.74513e-15	0	0	0	
1.13178e-08	1.0747e-13	0	0	0	
1.02033e-08	1.00586e-13	0	0	0	
1.24673e-08	1.25455e-13	0	0	0	
2.46196e-09	2.53131e-14	0	0	0	
10978.2	18498.7	31469	53573.7	91027.9	
11806.1	20170.5	34547.9	59070.4	100680	
64900.5	111395	190141	323495	548587	
7909.79	13733.6	24000.4	41848	72608.2	
120.818	203.678	346.467	589.833	1002.29	
131.191	223.979	383.59	655.887	1118.02	
634.303	1087.63	1856.05	3158.41	5359.07	
76.4322	133.028	232.616	405.706	704.086	
835.506	1407.72	2394.68	4076.74	6926.75	
888.351	1517.29	2598.67	4443.14	7572.73	
5067.72	8697.78	14846.2	25259.3	42837.5	
617.352	1072.01	1873.47	3266.71	5668.03	
2859.11	4808.41	8177.84	13924.9	23672.2	
3569.69	6065.62	10360.3	17675.5	30071.2	
5913.34	10137.2	17289.6	29396	49812	
780.363	1359.17	2379.01	4152.77	7210.93	
2.06498e-09	1.9984e-14	0	0	0	
2.33139e-09	2.34812e-14	0	0	0	
4.07004e-09	3.87468e-14	0	0	0	
1.53014e-09	1.54321e-14	0	0	0	
2.98745e-08	2.85993e-13	0	0	0	
3.37187e-08	3.30402e-13	0	0	0	
5.88659e-08	5.83533e-13	0	0	0	
2.21449e-08	2.1938e-13	0	0	0	
