"a0heterosexualmalee1","a1heterosexualmalee1","a2heterosexualmalee1","a3heterosexualmalee1","a0heterosexualfemalee1","a1heterosexualfemalee1","a2heterosexualfemalee1","a3heterosexualfemalee1"
0.01513008536179,0.0110662752257061,0.00117795181730251,0.0263100424537269,0.0159657704624279,0.0347107575138288,0.00126104192407019,0.00616416832759316
0.0151527107206972,0.0110680415907906,0.00118477489270864,0.02628479825132,0.0158703145303067,0.034716976367482,0.00126547774163753,0.00616055411547645
0.0150976309899253,0.0110632408546053,0.00116834743375682,0.0263454995866119,0.0161010263522731,0.034701993123983,0.00125440759784688,0.00617208919254906
0.015184430891035,0.011072017936456,0.00119484570371065,0.026247640955716,0.0157311381879413,0.0347232612911507,0.00127268402351498,0.00615270237769688
0.0152074288903147,0.0110733261962853,0.00120000881507051,0.0262283676903746,0.0156467963543562,0.0347333860914839,0.00127640191712247,0.00614924861422339
0.0151428299467939,0.0110667741809116,0.00118164105812611,0.0262963412127476,0.0159136648135112,0.0347150359639327,0.00126321846381202,0.006163058393753
0.0150966831254094,0.0110629959908353,0.00116817276099124,0.0263462464240558,0.0161055719032746,0.0347016986731805,0.00125420241798567,0.00617097270978413
0.0152087409843582,0.0110729075039257,0.00120186288118312,0.0262215744565159,0.01563196152066,0.0347315211058992,0.00127679512954889,0.00615070100829854
0.0151415402890251,0.0110666541723673,0.00118124538492524,0.0262978041472058,0.0159191768013899,0.0347147134050382,0.00126295281403484,0.00616330018630767
0.015131162848231,0.011066176515026,0.00117870284371544,0.0263078466393477,0.0159589420856175,0.0347105415030579,0.0012612572896164,0.00616457709005996
0.0151298366148411,0.0110662611070618,0.00117785981332182,0.0263104094881051,0.015966955245389,0.0347107234616729,0.0012609901983985,0.00616419090555401
0.0151409926154158,0.0110669633031566,0.0011801108412495,0.0263019577386479,0.0159276614946695,0.0347160367794688,0.00126275813899218,0.00616227196037721
0.0150974117414306,0.0110632420291203,0.0011679111770911,0.0263471926544742,0.0161055447032499,0.0347026163527986,0.00125431001430188,0.00617027347238367
0.0151865522450476,0.0110711903903911,0.00119515774988113,0.026246409378061,0.0157256756955255,0.0347254406246938,0.00127244843950627,0.00615420997517584
0.015184484144996,0.0110716805830834,0.00119579806475953,0.0262442146731441,0.0157250041924171,0.0347218691774785,0.00127277598900015,0.00615377609954533
0.015184150043613,0.0110719938419893,0.00119476699558105,0.0262479326059363,0.0157322851071325,0.0347231750381768,0.00127262949762055,0.00615275412610709
0.0151860935960398,0.0110721473729575,0.00119606354689882,0.0262430314436725,0.0157171018234415,0.0347223754112941,0.00127313047391303,0.00615606201902192
0.0151411466796854,0.0110676385770922,0.00118180183577863,0.0262957979692357,0.0159139093280004,0.0347123433126037,0.00126359564674799,0.00616328238941059
0.0152075885499224,0.0110733414875854,0.00120005663386678,0.0262281908388238,0.0156461213794544,0.034733427785338,0.00127643470584019,0.00614921731652735
0.0151309974454616,0.0110663430823061,0.00117816777992243,0.026309805588282,0.0159627266579709,0.0347112306453419,0.00126118300705403,0.00616403844614637
0.015207747446721,0.011073356705828,0.00120010422419817,0.0262280148322206,0.0156454496293947,0.0347334692799904,0.00127646733790255,0.00614918616836298
0.0151525984157935,0.0110680314771026,0.00118474161445006,0.0262849214215379,0.0158707860935869,0.0347169457440012,0.00126545514073648,0.00616057499910039
0.015186530966729,0.0110718208754561,0.0011963367350982,0.0262432955826395,0.0157176728488624,0.0347228001328177,0.00127310805286849,0.00615352202420307
0.015130750129132,0.0110663196614548,0.00117809505179418,0.0263100752704484,0.0159637631250727,0.0347111633890176,0.00126113273932714,0.00616408700346607
0.0151862518364461,0.0110721533670242,0.00119527676437142,0.0262471692812574,0.0157250626768077,0.0347242062790845,0.00127296560937429,0.00615244316775154
0.0151416282062546,0.011067024176476,0.00118030120366659,0.0263012537081979,0.0159249744790232,0.0347162027590303,0.00126288866799009,0.0061621473670053
0.0151855787643124,0.0110714602001742,0.00119389177970654,0.026251048864063,0.0157359852759351,0.0347266586795936,0.00127216599316353,0.00615326064311961
